1992A           48640.5 .0 48643.0 0  48642.0 0  48638. 0  
 Ia                12.5  .00 12.56  .00 12.55  .00 12.56 .00 12.70  .00 
 fit=  0.10 0.02 0 -0.02     
 NGC1380  ABg= 0.00 .00 ABi= 0.0001 .00  mu= 31.14 0.0
BVRI  ___________________________________________________________________________________
  Date      JD         B          V          R           I          S     notes
xxxxxxx  48623.   30.0   00.   30.0  0.0   30.0  0.00   30. 0.000   111
xxxxxxx  48815.       17.78     0.      17.82     0.      18.22     0       9999     0       111
#
12jan92  48633.60    13.262    0.004   13.257    0.003    9999     0.000    9999     9999    1
13jan92  48634.50    13.040    0.002   13.064    0.001   12.935    0.000   13.033    0.007   1
13jan92  48634.50     9999     0.000    9999     0.000    9999     0.000   13.044    0.002   1
14jan92  48635.50    12.878    0.000   12.907    0.001   12.785    0.000   12.909    0.001   1
15jan92  48636.50    12.743    0.000   12.787    0.000   12.757    0.000   12.838    0.001   1
16jan92  48637.60    12.690    0.001   12.718    0.000   12.652    0.001   12.798    0.001   1
17jan92  48638.50    12.622    0.001   12.663    0.002    9999     0.000   12.800    0.003   1
18jan92  48639.60    12.574    0.001   12.601    0.001   12.580    0.000   12.823    0.001   1
19jan92  48640.60    12.565    0.001   12.573    0.001   12.557    0.001   12.848    0.001   1
20jan92  48641.60    12.583    0.001   12.568    0.001   12.545    0.001   12.873    0.002   1
21jan92  48642.60    12.684    0.001   12.550    0.001   12.530    0.001    9999     0.000   1
22jan92  48643.60    12.750    0.000   12.556    0.001   12.555    0.001   12.909    0.002   1
22jan92  48643.60     9999     0.000   12.557    0.001    9999     0.000    9999     0.000   1
23jan92  48644.60     9999     0.000   12.587    0.001   12.595    0.001   12.953    0.002   1
24jan92  48645.60    12.860    0.001   12.597    0.001   12.631    0.001   13.025    0.002   1
25jan92  48646.60    12.939    0.000   12.651    0.000   12.719    0.001   13.096    0.002   1
26jan92  48647.60    13.021    0.000   12.712    0.001   12.803    0.001   13.183    0.002   1
27jan92  48648.60    13.122    0.000   12.779    0.001   12.900    0.002   13.270    0.002   1
28jan92  48649.60    13.232    0.001   12.869    0.001   12.998    0.001   13.339    0.002   1
29jan92  48650.60    13.339    0.001   12.942    0.002   13.069    0.002   13.355    0.005   1
30jan92  48651.60    13.476    0.001   13.038    0.001   13.132    0.001   13.407    0.002   1
31jan92  48652.60    13.599    0.001   13.100    0.001   13.154    0.002    9999     0.000   1
01feb92  48653.60    13.731    0.001   13.157    0.001   13.177    0.001   13.364    0.002   1
02feb92  48654.50    13.877    0.002   13.225    0.001   13.245    0.002   13.352    0.003   1
03feb92  48655.50    14.019    0.002   13.275    0.001   13.256    0.002   13.316    0.003   1
04feb92  48656.50    14.147    0.002   13.329    0.001   13.255    0.002   13.267    0.003   1
05feb92  48657.50    14.289    0.002   13.390    0.002   13.267    0.002   13.224    0.003   1
06feb92  48658.50    14.444    0.002   13.445    0.002   13.259    0.001   13.217    0.002   1
08feb92  48660.50    14.676    0.002   13.566    0.001   13.312    0.001   13.171    0.002   1
10feb92  48662.50    14.897    0.003   13.755    0.002   13.423    0.001   13.182    0.002   1
21feb92  48673.50    15.645    0.004   14.538    0.001   14.238    0.001   14.001    0.002   1
21feb92  48673.50     9999     0.000    9999     0.000   14.244    0.002    9999     0.000   1
22feb92  48674.50    15.672    0.004   14.580    0.002   14.285    0.002   14.057    0.003   1
23feb92  48675.50    15.691    0.004   14.615    0.002   14.327    0.002   14.109    0.002   1
25feb92  48677.50    15.760    0.005   14.691    0.002   14.419    0.002   14.221    0.003   1
26feb92  48678.40    15.783    0.005   14.735    0.002   14.468    0.002   14.302    0.003   1
26feb92  48678.40    15.800    0.005   14.734    0.002   14.471    0.002   14.301    0.003   1
28feb92  48680.40    15.826    0.005   14.774    0.002   14.530    0.002   14.399    0.004   1
06mar92  48687.40    15.974    0.004   14.970    0.002   14.876    0.002   14.749    0.003   1
06mar92  48687.40     9999     0.000    9999     0.000    9999     0.000   14.764    0.002   1
10mar92  48691.40    16.033    0.005   15.095    0.003    9999     0.000   14.950    0.004   1
10mar92  48691.50    15.988    0.005   15.101    0.004   14.947    0.003   14.919    0.005   1
12mar92  48693.50     9999     0.000   15.185    0.005    9999     0.000   15.082    0.005   1
16mar92  48697.40    16.160    0.010   15.328    0.005    9999     0.000    9999     0.000   1
20mar92  48701.50    16.104    0.005   15.360    0.004   15.270    0.004   15.369    0.005   1
31mar92  48712.50    16.245    0.004   15.656    0.003   15.612    0.003   15.843    0.007   1
04apr92  48716.40    16.287    0.013    9999     0.000    9999     0.000    9999     0.000   1
04apr92  48716.40    16.315    0.005   15.789    0.004   15.789    0.004   16.070    0.005   1
07apr92  48719.50    16.327    0.006   15.876    0.004   15.884    0.004   16.177    0.007   1
08apr92  48720.40    16.365    0.007   15.933    0.004   15.962    0.005   16.264    0.008   1
