 1994D           49430.5  0. 49432.5 0. 49434.5 0. 49434.5 0.  49428.5 0.
 Ia               11.30 .00 11.84 .00   11.90 .00  11.86 .00   12.15 .00   
 fit=     -0.54  0.02 0 0            
 NGC4526   ABg= 0.  .00 ABi= 0. .00  mu= 30.92 .00  (SBF Patat, altri 30.86)
UBVRI ___________________________________________________________________
 Date       JD     U          B          V         R           I            S note
xxxxxxxx 49412.    9999 .00 30.   .00 30.   .00 30.   .00  9999  .00 111 Dutch
xxxxxxxx 49738.    9999 .00 9999 .00  9999  .00 18.9 .00  9999  .00 111 Dutch # hard limit
11/3/94  49422.72 12.89 .00 13.26 .00 13.27 .00 13.11 .00 13.243 .00   0 Dutch
12/3/94  49423.76 12.44 .00 12.91 .00 12.93 .00 12.70 .00 12.849 .00   0 Dutch
13/3/94  49424.71 12.11 .00 12.67 .00 12.67 .00 12.43 .00 12.607 .00   0 Dutch
14/3/94  49425.69 11.84 .00 12.41 .00 12.47 .00 12.31 .00 12.415 .00   0 Dutch
15/3/94  49426.72 11.64 .00 12.26 .00 12.29 .00 12.15 .00 12.272 .00   0 Dutch
16/3/94  49427.72 11.50 .00 12.10 .00 12.17 .00 12.04 .00 12.181 .00   0 Dutch
17/3/94  49428.74 11.41 .00 11.99 .00 12.08 .00 11.98 .00 12.158 .00   0 Dutch
18/3/94  49429.72 11.31 .00 11.89 .00 11.98 .00 11.92 .00 12.180 .00   0 Dutch
19/3/94  49430.72 11.30 .00 11.86 .00 11.93 .00 11.90 .00 12.219 .00   0 Dutch
20/3/94  49431.70 11.33 .00 11.84 .00 11.92 .00 11.91 .00 12.220 .00   0 Dutch
22/3/94  49433.70 11.40 .00 11.84 .00 11.91 .00 11.89 .00 12.243 .00   0 Dutch
23/3/94  49434.70 11.42 .00 11.89 .00 11.90 .00 11.86 .00  9999  .00   0 Dutch
24/3/94  49435.70 11.52 .00 11.91 .00 11.92 .00 11.87 .00 12.264 .00   0 Dutch
25/3/94  49436.70  9999 .00 11.99 .00 11.96 .00 11.91 .00  9999  .00   0 Dutch
26/3/94  49437.70  9999 .00 12.02 .00 11.97 .00 11.96 .00  9999  .00   0 Dutch
27/3/94  49438.70  9999 .00 12.13 .00 12.03 .00 12.03 .00  9999  .00   0 Dutch
28/3/94  49439.70  9999 .00 12.25 .00 12.10 .00 12.15 .00  9999  .00   0 Dutch
29/3/94  49440.70 12.12 .00 12.33 .00 12.21 .00 12.33 .00 12.765 .00   0 Dutch
30/3/94  49441.70 12.24 .00 12.44 .00 12.29 .00 12.43 .00 12.812 .00   0 Dutch
2/4/94   49444.70 12.75 .00 12.80 .00 12.53 .00  9999 .00  9999  .00   0 Dutch
3/4/94   49445.70 12.94 .00 12.95 .00 12.59 .00  9999 .00  9999  .00   0 Dutch
4/4/94   49446.70 13.10 .00 13.10 .00 12.64 .00  9999 .00  9999  .00   0 Dutch
13/4/94  49455.70 14.48 .00 14.28 .00 13.25 .00 12.89 .00 12.603 .00   0 Dutch
