1998S 	        50869.2 0.05  50889.2 0.05 50869.2 0.02 50869.2 0.05 50869.2 0.05 50869.2 0.05 50869.2 0.05 50869.2 0.05 50869.2 0.05 50869.2 0.05
 IIn               9999 .00  9999  .00     12.2  .00 9999  .00   9999 .0 9999 .0 9999 .0 9999 .0 9999 .0 9999 .0 9999 .0
 fit=                                               
 ????          ABg= 0.86 .00 ABi= 0.09 .00  mu= 31.18 0.0 (none)         
UBVRIJHKLM _______________________________________________________________________________________
 Date       JD     U          B          V         R           I      J          H       K        L     M      S note
  xxxxxxx   50869.      9999 0    30.  0       30.0  0	    30.   0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   111
 2.68/3/98  51175.18    9999 0  18.2 0  17.7   1   17.     0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   111
#
 23.7/2/98  50868.2     9999 0    9999 0       18.0  0	    18    0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   -7 Leonard et al, 00
 2.70/03/98 50875.2     9999 0    9999 0       16.0  0.5     16    0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   -3 IAUC 6831, pred.
 2.68/3/98  50875.18    9999 0    9999 0       15.2  0       15.2  0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6829,unf.
 4.3/3/98   50876.8     9999 0    9999 0       13.5  0       13.5  0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6829,unf.
 5/3/98	   50878.24    9999 0   13.25 0	      13.36 0	    13.32 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   9	Liu et al,00
 6/3/98	   50879.20    9999 0   12.97 0	      13.08 0	    13.05 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   9	Liu et al,00
 8/3/98	   50881.20    9999 0   12.68 0	      12.73 0	    12.71 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   9	Liu et al,00
 11/3/98   50884.17    9999 0    9999 0	      12.47 0	    12.44 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   9	Liu et al,00
 12/3/98   50885.15    9999 0   12.46 0	      12.44 0	    12.37 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   9	Liu et al,00
 14/3/98   50887.21    9999 0    9999 0	      12.34 0	    12.27 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   9	Liu et al,00
 15.81/3    50888.31    9999 0    9999 0       12.29 0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6843,visual
 16.1/3	   50888.6     9999 0   12.3  0        9999 0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6845,specph
 21/3/98   50894.17    9999 0   12.49 0	      12.31 0	    12.19 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   9	Liu et al,00
 22/3/98   50895.15    9999 0   12.60 0	      12.33 0	    12.20 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   9	Liu et al,00
