2007gr	Ic
  NGC1058  ABg= 0.25 0.06 ABi= 0.12 0.06 mu= 29.84 0.16  (9.3Mpc-cefeidi) jd_expl= 54323.2 
_____________________________________________________________________________________________________
UBVRI	JD_MAX	54334.22  2.0	54336.8  1.0	54338.5 2.0	54339.51  1.0	54342.0  2.0
       m_max	13.29	0.0	13.27	0.0	12.91	0.0	12.74	0.0	12.61	0.0
  Date    	JD      	U        B           V    	     R           I         	S	 Inst
 xxxxxxxx     54314.       9999  0.0    30.    0.0  30.      0.0    30.    0.0     9999  0.0    111
 xxxxxxxx     54634.       9999  0.0   19.7   0.0  9999     0.0   9999    0.0     9999  0.0    111
 13.67/08/07  54326.17     9999  0.0    14.5  0.0    14.5  0.0      9999   0.0     9999  0.0     12 IAUC-itaki-unfiltered
#
 10.4/08/07   54322.94     9999  0.0     9999  0.0     9999  0.0    18.90  0.0     9999  0.0    -12 IAUC-KAIT-lim
 10.71/08/07  54323.21     9999  0.0     9999  0.0     9999  0.0    19.0   0.0     9999  0.0    -12 IAUC-itaki-lim-unfiltered
 13.67/08/07  54326.17     9999  0.0     9999  0.0     9999  0.0    14.5   0.0     9999  0.0     12 IAUC-itaki-unfiltered
 14.76/08/07  54327.25     9999  0.0     9999  0.0     9999  0.0    14.5   0.05    9999  0.0     12 IAUC-itaki-unfiltered
 15.51/08/07  54328.01     9999  0.0     9999  0.0     9999  0.0    14.07  0.05    9999  0.0     12 IAUC-unfiltered+0.27
 15.72/08/07  54328.22     9999  0.0     9999  0.0     9999  0.0    14.0   0.0     9999  0.0     12 IAUC-itaki-unfiltered
 16.47/08/07  54328.97     9999  0.0     9999  0.0     9999  0.0    13.77  0.05    9999  0.0     12 IAUC-unfiltered+0.27
 18/08/07     54330.57    13.549 0.023  13.987 0.023  13.695 0.024  13.519 0.024  13.430 0.024   6  ekar
 18/08/07     54330.70    13.602 0.025  13.821 0.057  13.588 0.037  13.535 0.041  13.510 0.057   4  TNG
 20/08/07     54332.68    13.326 0.024  13.672 0.020  13.185 0.030  13.214 0.027  13.063 0.029   1  NOT
 20/08/07     54332.70    13.348 0.023  13.653 0.023  13.214 0.024  13.278 0.041  13.083 0.057   4  TNG
 21/08/07    54333.73     13.258 0.023  13.549 0.022  13.086 0.023  13.045 0.025   9999  0.000   1  NOT
 22/08/07     54334.63    13.291 0.025  13.481 0.025  13.046 0.024  12.887 0.023  12.858 0.024   8  LT
 22/08/07     54334.70     9999  0.000  13.509 0.023  13.000 0.033  12.969 0.026   9999  0.000   1  NOT
 23/08/07     54335.74    13.345 0.025  13.512 0.037  12.981 0.028  12.919 0.054  12.839 0.069   1  NOT
 24/08/07     54336.51    13.340 0.026  13.511 0.021  12.947 0.020  12.837 0.020  12.731 0.020   8  LT
 24/08/07     54336.60     9999  0.000  13.438 0.025  12.960 0.025  12.834 0.026  12.674 0.026   3  wenderstine
 26/08/07     54338.53     9999  0.000  13.495 0.025  12.882 0.023  12.732 0.024  12.717 0.023   8  LT
 26/08/07     54338.60	   9999  0.000  13.468 0.026  12.904 0.026  12.770 0.032  12.645 0.026   3  wenderstine
 26/08/07     54339.43     9999  0.00   13.580 0.03   12.916 0.027  12.810 0.045   9999  0.000   5  S70
 27/08/07     54339.60     9999  0.000  13.531 0.021  12.908 0.020  12.741 0.032  12.620 0.022   3  wenderstine
 29/08/07     54342.37    14.182 0.03   13.73  0.022  13.049 0.03   12.787 0.024  12.611 0.04    5  S70
 30/08/07     54342.52     9999  0.00     9999 0.00   13.07  0.10   12.78  0.06   12.608 0.03    8  LT
 31/08/07     54344.28     9999  0.00   13.939 0.10   13.163 0.10   12.832 0.10   12.65  0.1     5  S70
 03/09/07     54347.27     14.89  0.15   14.20  0.15   13.265 0.15   12.897 0.15   12.736 0.15    5  S70
 06/09/07     54350.49     9999  0.000  14.580 0.022  13.579 0.023  13.097 0.023  12.766 0.022   6  ekar
 07/09/07     54350.67    15.280 0.026  14.443 0.044  13.516 0.028  13.154 0.055  12.827 0.031   1  NOT
 10/09/07     54353.67    15.613 0.030  14.970 0.023  13.881 0.026  13.348 0.030  12.932 0.033   1  NOT
 11/09/07     54355.34    15.918 0.26   15.122 0.10   13.974 0.10   13.551 0.05   13.008 0.05    5  S70
 13/09/07     54356.60     9999  0.000  15.248 0.028  14.088 0.025  13.528 0.023  13.111 0.025   3  wenderstine
 14/09/07     54357.52     9999  0.000  15.261 0.026  14.078 0.021  13.535 0.022  13.118 0.023   11 loiano
 14/09/07     54357.55     9999  0.000  15.250 0.024  14.098 0.023  13.589 0.025  13.219 0.023   6  ekar
 14/09/07     54357.60     9999  0.000  15.393 0.028  14.156 0.020  13.608 0.026  13.207 0.026   3  wenderstine
 15/09/07     54358.53    16.198 0.054  15.365 0.032  14.184 0.023  13.592 0.024  13.185 0.022   8  LT
 15/09/07     54358.57    16.125 0.024  15.423 0.024  14.202 0.023  13.624 0.023  13.231 0.024   1  NOT
 16/09/07     54359.55     9999  0.000   9999  0.000   9999  0.000  13.710 0.020  13.281 0.021   3  wenderstine
 16/09/07     54360.45    16.275 0.041  15.427 0.032  14.309 0.027  13.743 0.028  13.252 0.024   8  LT
 17/09/07    54360.64     9999  0.000  15.531 0.015   14.325 0.017  13.752 0.023  13.299 0.006   3  wenderstine
 18/09/07     54362.44    16.413 0.045  15.645 0.030  14.380 0.025  13.856 0.023  13.405 0.027   8  LT
 20/09/07     54363.60     9999  0.000  15.654 0.021  14.530 0.015  13.959 0.020  13.456 0.021   3  wenderstine
 20/09/07     54364.45    16.456 0.051  15.737 0.032  14.545 0.030  13.969 0.024  13.468 0.023   8  LT
 21/09/07     54364.50     9999  0.000  15.710 0.021  14.567 0.014  14.004 0.021  13.480 0.028   3  wenderstine
 22/09/07     54365.64    16.258 0.023  15.818 0.023  14.567 0.023  14.055 0.023  13.511 0.023   1  NOT
 25/09/07     54368.56    16.346 0.080  15.791 0.035  14.710 0.030  14.138 0.028  13.594 0.025   8  LT
 26/09/07     54370.43    16.467 0.100  15.793 0.031  14.788 0.027  14.200 0.025  13.654 0.021   8  LT
 28/09/07     54371.57    16.417 0.024  15.810 0.024  14.859 0.024  14.324 0.030  13.686 0.033   1  NOT
 30/09/07     54373.6     16.337 0.032  15.916 0.025  14.875 0.021  14.266 0.023  13.787 0.025   1  NOT
 02/10/07     54375.53     9999  0.000  15.910 0.025  14.906 0.021  14.367 0.020  13.818 0.032   3  wenderstine
 08/10/07     54381.51     9999  0.000  15.952 0.026  15.001 0.028  14.499 0.037  13.888 0.031   3  wenderstine
 09/10/07     54382.53     9999  0.000  15.920 0.024  15.055 0.026  14.493 0.026  13.937 0.023   6  ekar
 09/10/07     54382.56     9999  0.000  15.972 0.038  15.010 0.018  14.565 0.024  13.951 0.023   3  wenderstine
 10/10/07     54383.57     9999  0.000  16.001 0.025  15.021 0.025  14.544 0.021  13.922 0.022   3  wenderstine
 11/10/07     54384.57     9999  0.000  15.976 0.023  15.054 0.018  14.562 0.020  13.929 0.029   3  wenderstine
 12/10/07     54385.63     9999  0.000  16.025 0.026  15.053 0.021  14.570 0.020  13.928 0.020   3  wenderstine
 16/10/07     54389.55     9999  0.000  16.021 0.022  15.163 0.018  14.621 0.038  13.984 0.028   3  wenderstine
 16/10/07     54390.40    16.542 0.040  16.052 0.030  15.120 0.025  14.660 0.028  14.045 0.020   8  LT
 19/10/07     54392.60     9999  0.000  15.984 0.028  15.162 0.025  14.680 0.022  14.060 0.020   6  ekar
 21/10/07     54394.52    16.571 0.038  16.058 0.032  15.201 0.026  14.743 0.023  14.127 0.025   8  LT
 23/10/07     54396.52     9999  0.000  16.073 0.023  15.235 0.024  14.772 0.021  14.133 0.022   8  LT
 24/10/07     54398.48    16.591 0.037  16.142 0.029  15.267 0.022  14.853 0.024  14.168 0.025   8  LT
 29/10.07     54402.58    16.690 0.043  16.168 0.031  15.319 0.025  14.906 0.024  14.216 0.023   8  LT
 30/10/07     54403.58     9999  0.000  16.175 0.029  15.352 0.021  14.905 0.020  14.238 0.020   3  wenderstine
 02/11/07     54406.70    16.662 0.042  16.209 0.026  15.379 0.024  14.973 0.025  14.241 0.021   8  LT
 06/11/07     54410.70    16.74  0.036  16.295 0.025  15.458 0.021  15.046 0.023  14.351 0.023   8  LT
 13/11/07     54417.58     9999  0.000  16.295 0.031  15.600 0.022  15.133 0.023  14.518 0.025   6  ekar
 14/11/07     54418.56     16.811 0.051  16.378 0.041  15.579 0.030  15.177 0.027  14.480 0.032   8  LT
