 1991T  Iapec
 NGC4527  ABg= 0.02 .00  ABi= 0.55 .00 mu= 30.74 .00  (xx) xxx
_________________________________________________________________________________
UBVRI  JD_MAX   48375.0 .0    48375.32 .0   48377.8 .0  48377  .0   48376  .0
	m_max   9999  .00    11.66  .00     11.51  .00  11.46   .00   11.67  .00     
  Date       JD       U           B           V           R           I        Source  note
 xxxxxxx  48355.    9999  .0   30.0   .0   30.0   .0   30.0   .0    9999  .0  111           # hard limit
 xxxx  48550.    9999  .00  16.44  .0   16.30  .0   16.52  .00   9999  .0     111    # hard limit
#
 16/04/91 48362.85 12.26  .02  12.98  .02  12.84  .02  12.67  .02  12.87  .02   1 Cutispoto
 17/04/91 48363.80 12.04  .02  12.80  .02  12.74  .02   9999  .00   9999  .00   1 Ortolani
 17/04/91 48363.65  9999  .00  12.73  .01  12.61  .01   9999  .00   9999  .00   1 ESO2.2
 18/04/91 48364.64  9999  .00  12.46  .01  12.34  .01  12.32  .01   9999  .00   1 ESO2.2
 20/04/91 48366.67  9999  .00  12.06  .01  12.00  .01  11.97  .01   9999  .00   1 ESO3.6
 21/04/91 48367.65  9999  .00   9999  .00  11.89  .01   9999  .00   9999  .00   1 ESO3.6
# 22/04/91 48368.70  9999  .00  11.78  .01  11.80  .01  11.70  .01   9999  .00   1 ESO3.6
 20/05/91 48396.56  9999  .00  13.39  .01  12.32  .01  12.32  .01   9999  .00   1 ESO3.6
 20/05/91 48396.56  9999  .00  13.48  .01  12.29  .01   9999  .00   9999  .00   1 ESO3.6
 20/05/91 48396.56  9999  .00   9999  .00  12.45  .01   9999  .00   9999  .00   1 ESO3.6
 20/06/91 48427.67  9999  .00  14.77  .01  13.60  .01  13.51  .01   9999  .00   1 ESO3.6
 20/06/91 48427.67  9999  .00   9999  .00  13.66  .01  13.45  .01   9999  .00   1 ESO3.6
 20/06/91 48427.67  9999  .00   9999  .00  13.59  .01   9999  .00   9999  .00   1 ESO3.6
 01/08/91 48469.51  9999  .00  15.42  .02   9999  .00  14.78  .02   9999  .00   1 ESO2.2
 12/08/91 48480.49  9999  .00   9999  .00  15.29  .02   9999  .00   9999  .00   1 ESO2.2
 02/12/91 48593.46  9999  .00  16.98  .06  17.01  .05  17.62  .06   9999  .00    0 As182
 02/12/91 48593.46  9999  .00  16.95  .06  17.01  .05  17.59  .06   9999  .00    0 As182
 03/12/91 48594.46  9999  .00  17.06  .06  17.10  .06  17.65  .06   9999  .00    0 As182
 12/12/91 48603.46  9999  .00  17.04  .06  17.07  .06  17.68  .06   9999  .00    0 As182
 01/02/92 48653.90  9999  .00  17.66  .05  17.95  .05  18.54  .05   9999  .00    1 ESO2.2
 05/02/92 48657.82  9999  .00  17.74  .04  17.96  .03  18.56  .04   9999  .00    1 ESO3.6
 05/02/92 48657.60  9999  .00   9999  .00  17.88  .07   9999  .00   9999  .00    0 As182
 06/02/92 48658.66  9999  .00  17.75  .04  17.94  .08  18.52  .06   9999  .00    0 As182
 29/02/92 48681.78  9999  .00  18.02  .06  18.34  .05  18.97  .05   9999  .00    1 ESO2.2
 04/03/92 48686.46  9999  .00  18.25  .10  18.27  .06  19.00  .08   9999  .00    0 As182
 06/03/92 48688.46  9999  .00  18.25  .10  18.35  .06  19.05  .08   9999  .00    0 As182
 11/03/92 48692.67  9999  .00  18.42  .07  18.42  .07  19.07  .06   9999  .00   1 NTT
 04/05/92 48746.69  9999  .00  18.99  .05  19.12  .05  19.58  .05  19.00  .08   1 ESO3.6
 26/07/92 48829.67  9999  .00  19.97  .10  20.27  .05  20.57  .05   9999  .00   1 ESO2.2
 23/12/92 48979.67  9999  .00  21.04  .10  20.95  .08   9999  .00   9999  .00   1 ESO3.6
 22/01/93 49010.67  9999  .00  21.02  .10  21.00  .08  21.28  .09   9999  .00   1 ESO3.6
 17/02/93 49035.67  9999  .00  9999   .00  20.97  .09  21.25  .07   9999  .00   1 NTT
 27/02/93 49045.79  9999  .00  21.08  .10  20.99  .09   9999  .00   9999  .00   1 ESO 2.2
 28/02/93 49046.79  9999  .00  21.21  .00  21.02  .00  21.36  .00   9999  .00   1 ESO 2.2
 15/03/93 49061.67  9999  .00  21.03  .10  21.08  .07  21.17  .07   9999  .00   1 eso3.6
 26/04/93 49103.60  9999  .00  21.06  .10  9999   .00  21.22  .07   9999  .00   1 ESO 3.6 
 27/04/93 49104.60  9999  .00  21.06  .10  21.21  .08   9999  .00   9999  .00   1 ESO 3.6
 17/03/94 49428.78  9999  .00  21.43  .11  21.45  .10   9999  .00   9999  .00   1 NTT
 10/05/94 49482.62  9999  .00  21.13  .11   9999  .00   9999  .00   9999  .00   1 ESO3.6
 15/05/94 49487.65  9999  .00  21.30  .11   9999  .00   9999  .00   9999  .00   1 ESO2.2
 17/03/96 50159.77  99999 .00  21.49  .12  21.48  .10   9999  .00   9999  .00   1 ESO3.6
    0    48356.40  9999  .00   9999  .00  15.00  .00   9999  .00   9999  .00   -4 limit IAUC vis
    0    48364.46 11.80  .00  12.51  .00  12.40  .00   9999  .00   9999  .00    4 IAUC5246
    0    48368.02 11.14  .00  11.94  .00  11.84  .00  11.76  .00   9999  .00    4 IAUC5246
    0    48375.01 11.01  .00  11.66  .00  11.52  .00  11.41  .00   9999  .00    4 IAUC5253
    0    48376.97 11.21  .00  11.75  .00  11.49  .00  11.36  .00  11.69  .00    4 IAUC5256
#    0    48367.77 11.09  .00  11.75  .00  11.69  .00   9999  .00   9999  .00    4 IAUC5270
#    0    48367.77 11.09  .00  11.76  .00  11.70  .00   9999  .00   9999  .00    4 IAUC5270
    0    48382.77 11.78  .00  11.98  .00  11.61  .00   9999  .00   9999  .00    4 IAUC5273
    0    48439.83  9999  .00  14.91  .00  14.03  .00   9999  .00   9999  .00    4 IAUC5309
    0    48440.87  9999  .00  14.92  .00  14.00  .00   9999  .00   9999  .00    4 IAUC5309
    0    48363.77  9999  .00  12.712 .016 12.618 .016 12.526 .015  9999  .00    2 xx
    0    48364.76  9999  .00  12.449 .016 12.362 .016 12.299 .015  9999  .00    2 xx
    0    48365.66 11.610 .026 12.362 .016 12.256 .016 12.134 .015 12.215 .017   2 xx
    0    48365.65  9999  .00   9999  .00   9999  .00  12.159 .015  9999  .00    2 xx
    0    48366.67  9999  .00  12.152 .016 12.061 .016 11.971 .015  9999  .00    2 xx
