1991bg  IaPec 
 NGC4374   ABg= 0. .0   ABi= 0.12 .1  mu= 31.44 .20 (stefan)
__________________________________________________________________
BVRI JD_max     48603.2 1.0  48605.5 1.0   48606.0 1.0  48608.0 1.0
      m_max     14.75 .1   13.96  .05    13.63  .05   13.50 .05
  Date    JD         B         V         R          I         S  notes 
 xxxxxxxx 48585.    30.0 .00 30.00 .00  30.0 .00  9999 .00   111       
 xxxxxxxx 48900.   22.  .00  22.   .00  22.  .00  9999 .00   111       
 03/12/91 48591.28 15.0  .00  9999 .00  15.0 .00  9999 .00   111       
#
 17/11/91 48578.30  9999 .00 15.10 .00  9999 .00  9999 .00    -1 limit
 03/12/91 48591.28  9999 .00 14.90 .00  9999 .00  9999 .00     1       
 09/12/91 48600.36  9999 .00 14.50 .00  9999 .00  9999 .00     1       
 10/12/91 48601.30  9999 .00 14.40 .00  9999 .00  9999 .00     1       
 10/12/91 48601.30  9999 .00 14.30 .00  9999 .00  9999 .00     1       
 13/12/91 48604.00 14.76 .00 14.02 .00 13.76 .00 13.69 .00     2   
 14/12/91 48605.00 14.81 .00 13.96 .00 13.63 .00 13.48 .00     2 
 15/12/91 48605.85 14.87 .00 14.01 .00  9999 .00  9999 .00     4   
 15/12/91 48606.00 14.86 .00 13.97 .00 13.64 .00 13.57 .00     2   
 16/12/91 48607.50  9999 .00  9999 .00 13.63 .01 13.52 .01     3   
 16/12/91 48607.00 14.96 .00 14.01 .00 13.65 .00 13.46 .00     2   
 17/12/91 48607.85 15.03 .00 14.01 .00 9999  .00 9999  .00     2
 17/12/91 48607.90  9999 .00 14.02 .01 13.65 .01 13.51 .01     3   
 18/12/91 48608.84 15.22 .00 14.06 .00 9999  .00 9999  .00     2   
 19/12/91 48609.84 15.34 .00 14.15 .00 9999  .00 9999  .00     2   
 19/12/91 48609.90  9999 .00 14.16 .01 13.75 .01 13.53 .01     3   
 20/12/19 48610.83 15.59 .00 14.24 .00 9999  .00 9999  .00     2   
 20/12/91 48610.90  9999 .00 14.28 .01 13.80 .01 13.59 .01     3   
 22/12/91 48613.00  9999 .00 14.53 .01 13.98 .01 13.66 .01     3   
 27/12/91 48617.84 16.44 .00 15.05 .00 9999  .00 9999  .00     2   
 27/12/91 48617.86 16.62 .00 15.11 .00 9999  .00 9999  .00     2   
 30/12/91 48620.86 16.78 .00 15.36 .00 9999  .00 9999  .00     2   
 31/12/91 48621.80  9999 .00 15.53 .03 14.86 .02 14.28 .01     3   
 31/12/91 48621.92  9999 .00 15.44 .00  9999 .00  9999 .00     4   
 01/01/92 48622.84 16.82 .00 15.57 .00 15.04 .00  9999 .00     4   
 01/01/92 48623.00  9999 .00 15.54 .04 15.00 .01  9999 .00     3   
 02/01/92 48623.84 16.81 .00 15.62 .00 15.16 .00  9999 .00     4  
 02/01/92 48623.85 16.88 .00 15.51 .00 9999  .00 9999  .00     2   
 02/01/92 48624.00  9999 .00 15.54 .04 15.08 .01 14.50 .02     3   
 02/01/92 48624.10  9999 .00 15.54 .04 15.08 .01 14.48 .02     3   
 03/01/92 48624.84 16.99 .00 15.63 .00 15.14 .00  9999 .00     4   
 04/01/92 48625.84 16.94 .00 15.62 .00 9999  .00 9999  .00     2   
 05/01/92 48626.84 17.10 .00 15.80 .00 15.30 .00  9999 .00     4   
 05/01/92 48626.85 17.07 .00 15.71 .00 9999  .00 9999  .00     2   
 06/01/92 48627.84 17.05 .00 15.74 .00 9999  .00 9999  .00     2   
 06/01/92 48627.90  9999 .00 15.81 .05 15.30 .03 14.72 .02     3   
 07/01/92 48628.84 17.07 .00 15.76 .00 9999  .00 9999  .00     2   
 07/01/92 48628.84 17.04 .00 15.82 .00 9999  .00 9999  .00     2   
 07/01/92 48628.85 17.00 .00 15.77 .00  9999 .00  9999 .00     4   
 08/01/92 48630.00  9999 .00 15.86 .04 15.47 .01  9999 .00     3   
 10/01/92 48631.85 17.17 .00 15.88 .00 9999  .00 9999  .00     2   
 11/01/92 48632.85 17.20 .00 15.94 .00 9999  .00 9999  .00     2   
 12/01/92 48633.90  9999 .00 16.00 .07 15.66 .05 15.12 .03     3   
 12/01/92 48634.10  9999 .00 16.10 .04 15.73 .01 15.10 .02     3   
 13/01/92 48635.00  9999 .00 16.14 .05 15.80 .01 15.19 .02     3   
 13/01/92 48635.10  9999 .00 16.16 .05 15.75 .02  9999 .00     3   
 14/01/92 48636.00  9999 .00 16.16 .05 15.83 .01 15.24 .02     3   
 14/01/92 48636.10  9999 .00 16.10 .05 15.83 .01 15.24 .02     3   
 15/01/92 48636.67 17.40 .00 16.16 .00  9999 .00  9999 .00     4   
 16/01/92 48637.67 17.38 .00 16.32 .00 15.92 .00  9999 .00     4   
 17/01/92 48638.70 17.34 .00 16.28 .00  9999 .00  9999 .00     4   
 17/01/92 48638.80  9999 .00 16.25 .08 15.85 .06 15.43 .04     3   
 18/01/92 48639.60 17.47 .00 16.18 .00  9999 .00  9999 .00     4   
 18/01/92 48640.10  9999 .00 9999  .00 16.03 .04 15.44 .04     3   
 20/01/92 48641.84 17.38 .00 16.36 .00 9999  .00 9999  .00     2   
 29/01/92 48651.00  9999 .00 16.76 .06 16.50 .05 16.08 .04     3   
 30/01/92 48651.80  9999 .00 16.80 .13 16.63 .12 16.03 .07     3   
 03/02/92 48655.80  9999 .00  9999 .00 16.69 .12 16.28 .09     3   
 03/02/92 48656.00  9999 .00 16.95 .15 16.96 .10 16.30 .10     3   
 04/02/92 48656.82 17.73 .00 16.78 .00 16.58 .00 16.06 .00     2   
 04/02/92 48656.86 17.75 .00 17.01 .00 16.85 .00  9999 .00     4   
 05/02/92 48657.61 17.75 .00 16.98 .00 16.94 .00  9999 .00     6   
 05/02/92 48657.81 17.85 .00 16.98 .00  9999 .00 9999  .00     2   
 05/02/92 48657.88 17.81 .00 17.03 .00 16.88 .00  9999 .00     4   
 05/02/92 48658.10  9999 .00 16.97 .13  9999 .00 16.37 .07     3   
 06/02/92 48658.53 17.90 .00 17.10 .00 16.90 .00  9999 .00     6   
 06/02/92 48658.79 17.82 .00 16.95 .00 16.80 .00 16.34 .00     2   
 07/02/92 48659.80  9999 .00 17.27 .20 16.86 .13 16.41 .10     3   
 08/02/92 48660.83 17.87 .00 17.01 .00 16.90 .00 16.31 .00     2   
 10/02/92 48662.80  9999 .00 17.28 .20 16.99 .15 16.55 .11     3   
 10/02/92 48662.83 17.88 .00 17.06 .00 16.97 .00 16.55 .00     2   
 13/02/92 48665.80  9999 .00 17.54 .25 17.29 .20 16.67 .12     3   
 15/02/92 48667.80  9999 .00 17.45 .25 17.56 .30 16.79 .13     3   
 21/02/92 48673.79 18.25 .00 17.53 .00 17.41 .00 16.67 .00     2   
 24/02/92 48676.87 18.15 .00 17.42 .00 9999  .00 9999  .00     2   
 25/02/92 48677.67 18.15 .00 17.75 .00 17.77 .00  9999 .00     4   
 26/02/92 48678.70  9999 .00 17.63 .12 17.59 .11 17.08 .10     3   
 26/02/92 48678.80 18.26 .00 17.58 .00 9999  .00 16.56 .00     2   
 27/02/92 48679.90  9999 .00 17.69 .22 17.82 .06 17.09 .08     3   
 28/02/92 48681.10  9999 .00 17.54 .25  9999 .00  9999 .00     3   
 01/03/92 48682.75 18.35 .00 17.93 .00 17.84 .00  9999 .00     4   
 06/03/92 48687.55 18.55 .00 18.00 .00 17.90 .00  9999 .00     6   
 06/03/92 48687.91 9999  .00 17.96 .00 9999  .00 9999  .00     2   
 07/03/92 48688.54 18.55 .00 18.01 .00 18.05 .00  9999 .00     6   
 07/03/92 48688.91 18.61 .00 17.92 .00 9999  .00 9999  .00     2   
 10/03/92 48691.26 9999  .00 9999  .00 18.2  .00  9999 .00     4   
 11/03/92 48692.74 18.53 .00 18.00 .00 9999  .00 9999  .00     2   
 27/03/92 48709.00  9999 .00  9999 .00 18.50 .33  9999 .00     3   
 29/03/92 48711.00  9999 .00 18.65 .31  9999 .00  9999 .00     3   
 04/04/92 48716.90  9999 .00 19.09 .22 18.70 .18 18.40 .14     3   
# 06/04/92 48718.70  9999 .00  9999 .00 18.43 .16 18.13 .19     3   
# 08/04/92 48720.69 18.88 .00 18.49 .00  9999 .00  9999 .00     2 
 08/04/92 48720.75 19.14 .00 19.05 .00 18.93 .00 18.00 .00     5   
 19/04/92 48731.80  9999 .00  9999 .00  9999 .00 18.71 .15     3   
# 20/04/92 48732.80  9999 .00  9999 .00 19.01 .24  9999 .00     3   
 30/04/92 48742.79 19.68 .00 19.48 .00  9999 .00  9999 .00     2   
 03/05/92 48746.60 19.78 .00 19.90 .00 19.77 .00 18.81 .00     5   
# 19/05/92 48762.48  9999 .00 19.74 .00 18.39 .00 18.04 .00     2   
 03/06/92 48776.79 19.96 .00 20.03 .00  9999 .00  9999 .00     2   
 03/07/92 48806.52 21.03 .00 21.19 .00 21.04 .00  9999 .00     5   
 23/01/93 49010.81  9999 .00 22.50 .00 22.10 .00  9999 .00    -5 limits
 06/03/93 49053.24  9999 .00 23.50 .00  9999 .00  9999 .00    -7 limits
 26/05/93 49133.57  9999 .00 24.95 .00  9999 .00  9999 .00     8
__________________________________________________________________________
JHK  JD_max    48608.0 1.0  48608.0 1.0  48608.0 1.0
       m_max    13  0.0      13 0.0          13 0.0
  Date    JD         J         H         K         S  notes 
 15/12/91 48606.05 13.49 .03 13.45 .04 13.49 .05   9
 16/12/91 48607.06 13.51 .03 13.44 .03 13.41 .05   9
 17/12/91 48608.05 13.59 .04  9999 .00  9999 .00   9
#_____________________________________________________
# 1- IAUC5400, 
# 2- B. Leibundgut et al., 1993, AJ, 105, 301 IAUC5400 included
# 3- A.V. Filippenko et al., 1992, AJ, 104, 1543
#    4- noi ESO corrette per delta rispetto sequenze
#    5- ESO late red.MT 8.94, 
#    6- noi AS corrette per delta rispetto sequenze
#    7- HST limit (MT), 
#    8- NTT+EMMI align/ima 17 frames (3h eq.) 
#    9- Krisciunas et al. 2004 (data taken by Alain Porter)
# 4,5,6,7,8  in M. Turatto et al., 1996, MNRAS, 283, 1
# revisioni e correzioni in M. Turatto et al., 1996, MNRAS, 283, 1        
# 
# revised by ST, 2007 May 02                                 
