 1994I     49448.00 0.0  49449.9 2.0  49452.0 1.0    49453.0 0.0  49453.0 0.0 
Ic	  13.80  0.00	13.79  0.0	12.92 0.0    12.65 0.0	  12.49 0.0
fit=
 NGC5194  ABg= .0 0.0	ABi= 1.23 0.3 mu= 29.6 0.3 jd_expl= 49439.0 (richmond)
UBVRI __________________________________________________________________________________
  Date      JD       U          B          V          R           I        Source Inst
xxxxx    49428.  9999 0.0     30.  0.0    30.  0.0   30. 0.0      9999 0.0    111
xxxxx    49748.  9999 0.0     20.2  0.0   19.7  0.0  19. 0.0      9999 0.0    111
#
28/3/94   49439.94  9999 0.0   9999 0.0    9999 0.0   18.2 0.0      9999 0.0    3  limit
29/3/94   49440.89  9999 0.0   9999 0.0   18.82 0.0   9999 0.0      9999 0.0    3  limit
31/3/94   49442.93  9999 0.0   9999 0.0   16.41 0.0   9999 0.0      9999 0.0    3  inc+_0.25
31/3/94   49443.46  9999 0.0   9999 0.0   15.46 0.0   9999 0.0      9999 0.0    3  inc+_0.47
2/4/94   49444.52   9999 0.0   9999 0.0    9999 0.0   13.97 0.0     9999 0.0    3  inc+_0.25  
2/4/94   49444.95   9999 0.0  14.41 0.03  14.03 0.01  13.87 0.02  13.78 0.01    3  clouds
5/4/94   49447.89 13.88 0.0   13.95 0.02  13.21 0.01  13.06 0.02  12.90 0.01    3
 2/4/94   49445.02  9999 0.0   9999 0.0   14.13 0.05  13.77 0.11  13.75 0.01    3
 3/4/94   49445.87  9999 0.0   9999 0.0   13.78 0.04  13.50 0.10  13.43 0.02    3
 4/4/94   49446.92  9999 0.0  13.97 0.08  13.39 0.01  13.21 0.02  13.09 0.01    3
 5/4/94   49447.97  9999 0.0   9999 0.0   13.20 0.01  12.98 0.01  12.86 0.01    3
11/4/94   49453.94  9999 0.0  14.06 0.03  13.03 0.01  12.76 0.02  12.52 0.01    3
12/4/94   49454.82 14.59 0.0  14.18 0.03  13.10 0.01  12.78 0.01  12.54 0.01    3
13/4/94   49455.88 14.91 0.0  14.56 0.02  13.30 0.01  12.95 0.02  12.65 0.01    3
14/4/94   49456.84  9999 0.0  14.56 0.02  13.30 0.01  12.95 0.02  12.65 0.01    3  poor seeing
#18/4/94   49460.85  9999 0.0  15.28 0.03  13.93 0.01  13.41 0.02  13.00 0.01    3
#19/4/94   49461.82 15.97 0.0  15.40 0.04  14.08 0.02  13.53 0.03  13.10 0.01    3
#27/4/94   49469.81  9999 0.0   9999 0.0   14.95 0.04  14.39 0.05  13.81 0.02    3  slight trails
#3/5/94    49475.81  9999 0.0  16.28 0.10  15.45 0.06  14.80 0.08  14.13 0.02    3  clouds, V trailed
6/5/94    49478.80  9999 0.0   9999 0.0   15.43 0.02  14.90 0.03  14.27 0.01    3
8/5/94    49480.83  9999 0.0   9999 0.0   15.71 0.15  15.04 0.21  14.32 0.01    3
9/5/94    49481.81  9999 0.0  16.61 0.08  15.56 0.02  15.03 0.03  14.37 0.02    3
13/5/94   49485.77  9999 0.0  16.56 0.11  15.71 0.04  15.18 0.05  14.51 0.01    3
14/5/94   49486.75  9999 0.0  16.76 0.08  15.70 0.04  15.21 0.05   9999 0.0    3  poor seeing
#18/5/94   49490.70  9999 0.0  16.58 0.16  15.90 0.03 15.41 0.07  14.62 0.01    3  clouds
21/5/94   49493.82  9999 0.0  16.88 0.07  15.94 0.02  15.45 0.03  14.74 0.02    3
22/5/94   49494.87  9999 0.0  16.86 0.09  15.89 0.01  15.49 0.02  14.74 0.06    3
#29/5/94   49501.86  9999 0.0  17.21 0.14  16.18 0.07  15.73 0.09  15.00 0.03    3
30/5/94   49502.79  9999 0.0  17.06 0.06  16.24 0.02  15.75 0.04  15.04 0.02    3
 1/6/94   49504.71  9999 0.0  16.93 0.17  16.21 0.04  15.74 0.06  15.08 0.02    3  poor seeing
 2/6/94   49505.94  9999 0.0   9999 0.0   16.26 0.07  15.78 0.12  15.05 0.04    3  poor seeing
 8/6/94   49511.71  9999 0.0  17.21 0.18  16.48 0.04  15.99 0.06  15.30 0.02    3
11/6/94   49514.71  9999 0.0   9999 0.0   16.58 0.04  16.04 0.06  15.37 0.05    3
 7/4/94   49449.86  9999 0.0  13.68 0.21  12.99 0.01  12.72 0.02  12.60 0.01    3
10/4/94   49452.95  9999 0.0  13.81 0.07  12.91 0.01  12.62 0.02  12.49 0.01    3
11/4/94   49453.95  9999 0.0  14.02 0.04  13.01 0.01  12.70 0.02  12.52 0.01    3
12/4/94   49454.85  9999 0.0  14.23 0.04  13.13 0.02  12.74 0.03  12.56 0.01    3
13/4/94   49455.88  9999 0.0  14.35 0.03  13.14 0.01  12.77 0.02  12.59 0.01    3
14/4/94   49456.83  9999 0.0   9999 0.0   13.37 0.02  12.92 0.03  12.62 0.01    3
#15/4/94   49457.82  9999 0.0 14.75 0.02  13.46 0.01  13.04 0.02  12.72 0.01    3
21/4/94   49463.85  9999 0.0   9999 0.0   14.29 0.02  13.69 0.03  13.23 0.01    3
27/4/94   49469.82  9999 0.0  16.00 0.32  14.90 0.03  14.36 0.04  13.76 0.01    3
#28/4/94   49470.80  9999 0.0  15.97 0.30 15.11 0.01  14.50 0.01  13.96 0.02    3
29/4/94   49471.79  9999 0.0   9999 0.0   15.12 0.04  14.58 0.06  13.96 0.02    3
 2/5/94   49474.79  9999 0.0   9999 0.0   15.27 0.03  14.69 0.05  14.09 0.02    3
 3/5/94   49475.79  9999 0.0   9999 0.0   15.26 0.12  14.81 0.19  14.10 0.02    3
4/5/94   49476.78  9999 0.0   9999 0.0    15.26 0.11  14.86 0.15  14.16 0.03    3
6/5/94   49478.81  9999 0.0   9999 0.0    15.46 0.03  14.99 0.04  14.30 0.04    3
 8/5/94   49480.78  9999 0.0   9999 0.0   15.55 0.04  15.03 0.06  14.33 0.02    3
13/5/94   49485.76  9999 0.0   9999 0.0   15.69 0.07  15.27 0.10  14.55 0.01    3  
21/5/94   49493.75  9999 0.0   9999 0.0   16.05 0.11  15.46 0.16  14.80 0.04    3
22/5/94   49494.77  9999 0.0   9999 0.0   16.00 0.10  15.48 0.16  14.81 0.02    3
23/5/94   49495.78  9999 0.0   9999 0.0   16.03 0.21  15.50 0.29  14.91 0.02    3 
11/4/94   49453.97  9999 0.0   9999 0.0   9999 0.0  12.71 0.0   9999 0.0    3
12/4/94   49454.87  9999 0.0  14.11 0.0  13.10 0.0  12.75 0.0  12.50 0.0    3
13/4/94   49456.00  9999 0.0  14.37 0.0  13.26 0.0  12.85 0.0  12.58 0.0    3
14/5/94   49486.96  9999 0.0  16.78 0.0  15.77 0.0  15.25 0.0  14.54 0.0    3
11/6/94   49514.88  9999 0.0  17.48 0.0   9999 0.0  15.94 0.0   9999 0.0    3
13/7/94   49546.82  9999 0.0  17.95 0.0   9999 0.0   9999 0.0   9999 0.0    3
14/7/94   49547.80  9999 0.0  18.05 0.0  17.23 0.0  16.46 0.0  15.95 0.0    3
 7/8/94   49571.71  9999 0.0  18.10 0.0  17.60 0.0  16.93 0.0  16.34 0.0    3
 0  49445.8   13.94 0   14.16 0   13.62 0   13.52 0   13.47 0	7
 0  49447.9   13.85 0   13.89 0   13.23 0   13.05 0   13.01 0	7
 0  49449.9   13.82 0   13.75 0   13.00 0   12.78 0   12.74 0   7 
 0  49455.0   14.64 0   14.18 0   13.09 0   12.77 0   12.62 0	7
 0  49457.8   15.37 0   14.74 0   13.52 0   13.02 0   12.81 0	7
 0  49458.6   15.49 0   14.82 0   13.63 0   13.14 0   12.89 0	7
 0  49462.8   16.19 0   15.41 0   14.26 0   13.62 0   13.31 0	7
 0  49476.8   9999  0   16.31 0   15.29 0   14.80 0   14.24 0	7
 0  49478.9   9999  0   16.35 0   15.38 0   14.91 0   14.29 0	7
 0  49479.8   16.90 0   16.48 0   15.43 0   14.93 0   14.37 0	7
 0  49480.7   9999  0   16.42 0   15.46 0   14.99 0   14.41 0	7
 0  49482.8   9999  0   16.48 0   15.54 0   15.08 0   14.45 0	7
