  2009jf Ib
  NGC7479   ABg= 0.460 0.0 ABi= 0.2  0.2  mu= 32.65 0.10 jd_expl= 55099.5 (ABg=Schlegel,mu=Tully,vel=2462 32.65pm.06)
______________________________________________________________________
UBVRI   JD_MAX  55116.  2.0   55119.4  2.0   55122.0  2.0   55123.9  2.  55124.8  2.0
     m_max    15.70   0.0    15.60   0.0    15.00   0.0    14.83   0.0    14.59   0.0
  Date        JD             U              B               V             R                 I         S    Inst  
 xxx          55416        9999 0.0     20.8  0.081    20.5   0.     19.8 0.175         9999 0.151  111
# gal          55090       18.747 0.068  19.262 0.081    18.338 0.175    19.335 0.175    18.999 0.151  -1   galaxy 
 Sep/23.0     55097.51    9999 0.00      19.5  0.3       9999  0.0      18.478 0.235     9999  0.00   -12  ivan
 Sep/23.0     55097.51    9999 0.00      9999  0.00     19.000 0.0      9999   0.000     9999  0.00   -12  ivan_sub
 Sep/23.32    55097.83    9999 0.0        9999 0.0        9999 0.0      19.2   0.0       9999  0.0    -1  IAUC-KAIT
 Sep.24.0     55098.5     9999 0.000     9999  0.0      19.00  0.0      18.5   0.397     9999  0.000  -12  ivan_sub
 Sep/26.0     55100.49    9999 0.000     19.47 0.332    18.90  0.290    9999   0.278     9999  0.00   12  ivan_sub
 Sep/26.0     55100.49    9999 0.000     9999  0.332     9999  0.300    18.4   0.278     9999  0.00   -12  ivan_sub
 Sep/26.61    55101.11    9999 0.0        9999 0.0        9999 0.0      17.91   0.0       9999  0.0    1   IAUC-ITAGAKI_sub
 Sep/27.10    55101.61    9999 0.000    18.82 0.322    17.777 0.226    17.61  0.20      9999  0.00    12  ivan_sub      
 Sep/27.33    55101.83    9999 0.0        9999 0.0        9999 0.0      18.0   0.0       9999  0.0     1   IAUC-KAIT  
 Sep/28.33    55102.83    9999 0.0        9999 0.0        9999 0.0      17.8   0.0       9999  0.0     1   IAUC-KAIT  
 09/Sep/28.89 55103.39    9999 0.0        9999 0.0        9999 0.0      17.2   0.0       9999  0.0     1   Joel Nicolas
 09/Sep/29.2  55103.70    9999 0.0        9999 0.0       17.1  0.0      9999   0.0       17.8  0.0     1   JosephBrimacombe-L/IR	
 09/Sep/29.4  55103.85    9999 0.0        9999 0.0        9999 0.0      17.1   0.0       9999  0.0     1   StanHowerton/C    
 09/Sep/29.8  55104.30    9999 0.0        9999 0.0        9999 0.0      17.0   0.0       9999  0.0     1   JMLlapasset/CR   
 09/Sep/29.9  55104.40    9999 0.0        9999 0.0        9999 0.0      16.68  0.0       9999  0.0     1   GustavoMuler/CR   
 09/Sep/29.9  55104.40    9999 0.0        9999 0.0        9999 0.0      16.72  0.0       9999  0.0     1   JordiCamarasa/CR
 2009/09/30   55104.58    9999 0.000      9999 0.000    16.920 0.3       9999  0.00      9999  0.000   1   JosephBrimacombe/L_sub
 20091001     55105.6     9999 0.000      9999  0.000   16.600 0.3       9999  0.000     9999  0.000   1   JosephBrimacombe/L_sub
 20091001  55106.0       9999   0.000     9999  0.0      16.376 0.073    16.136 0.079    16.030 0.077  7   other-pignata
