#######################################
filename, sn name, jd, wmin, wmax, flag
#######################################

1981B_19810306a_mcd.fits,1981B,2444669.5,3932.62,6914.62,1
1981B_19810306b_mcd.fits,1981B,2444669.5,3934.75,6912.75,1
1981B_19810307_mcd.fits,1981B,2444670.5,5437.03,8441.03,1
1981B_19810308_mcd.fits,1981B,2444671.5,3951.14,6935.14,1
1981B_19810309a_mcd.fits,1981B,2444672.5,2101.49,5113.0,1
1981B_19810309_mcd.fits,1981B,2444672.5,1261.9,8427.82,1
1981B_19810313_mcd.fits,1981B,2444676.5,5657.11,7177.0,1
1981B_19810324_mcd.fits,1981B,2444687.5,3678.45,7030.45,1
1981B_19810327_mcd.fits,1981B,2444690.5,3509.66,8697.66,1
1981B_19810331_mcd.fits,1981B,2444694.5,3419.08,8805.08,1
1981B_19810405_mcd.fits,1981B,2444699.5,3727.55,6435.0,1
1981B_19810411_mcd.fits,1981B,2444705.5,3865.0,6305.0,1
1981B_19810425_mcd.fits,1981B,2444719.5,4370.0,7110.0,1
1981B_19810504_mcd.fits,1981B,2444728.5,2959.46,5407.84,1
1981B_19810510_mcd.fits,1981B,2444734.5,5689.82,7199.82,1
1981B_19810610_mcd.fits,1981B,2444765.5,3360.98,6199.94,1
1981B_19810701_mcd.fits,1981B,2444786.5,4193.03,7153.03,1
1981B_19811202_mcd.fits,1981B,2444940.5,3415.38,5636.9,1
1981B_19811203_mcd.fits,1981B,2444941.5,4192.31,7190.31,1
1981B_19820127_mcd.fits,1981B,2444996.5,3409.43,5553.35,1
1981B_19820227_mcd.fits,1981B,2445027.5,4255.33,7180.22,1
1981B_19820228_mcd.fits,1981B,2445028.5,3474.94,5919.28,1
1983G_19830407.fits,1983G,2445432.049,3322.0,7387.0,1
1983G_19830410.fits,1983G,2445434.667,3625.0,5394.0,1
1983G_19830411.fits,1983G,2445435.688,3608.0,5383.0,1
1983G_19830412_mcd.fits,1983G,2445436.5,3475.72,6455.33,1
1983G_19830415.fits,1983G,2445440.45,4200.0,6700.0,1
1983G_19830416.fits,1983G,2445440.5,3930.0,6829.0,1
1986G_19860505_ctio.fits,1986G,2446555.5,4796.0,7192.0,1
1986G_19860506_ctio.fits,1986G,2446556.5,4796.0,7192.0,1
1986G_19860507_ctio.fits,1986G,2446557.5,3600.0,7150.0,1
1986G_19860507.fits,1986G,2446557.7,3519.42,7292.42,1
1986G_19860508_ctio.fits,1986G,2446558.5,3600.0,7158.0,1
1986G_19860508.fits,1986G,2446558.7,3900.0,7299.0,1
1986G_19860509_ctio.fits,1986G,2446559.5,3600.0,5171.0,1
1986G_19860509.fits,1986G,2446559.5,3650.0,7094.0,1
1986G_19860510_ctio.fits,1986G,2446560.5,3918.0,7012.0,1
1986G_19860510.fits,1986G,2446560.5,3650.0,7094.0,1
1986G_19860511_ctio.fits,1986G,2446561.5,3556.0,6634.0,1
1986G_19860511.fits,1986G,2446561.5,3650.0,7094.0,1
1986G_19860512_ctio.fits,1986G,2446562.5,3556.0,6634.0,1
1986G_19860512.fits,1986G,2446562.5,3650.0,7094.0,1
1986G_19860513_ctio.fits,1986G,2446563.5,3698.0,5265.0,1
