filter,lameff,bandwidth,zeropoint,abmvega,ref,snband,ilotband,notes
Galex 
FUV,154.2,25.5,6.49e-09,2.12,Galex,NaN,NaN,NaN 
NUV,227.4,73.0,4.53e-09,1.67,Galex,UVM2,UVM2,NaN 
WISE 
W1,3872.4,662.6,9.902e-11,2.70,WISE,NaN,NaN,NaN 
W2,4564.5,1042.3,5.225e-11,3.33,WISE,NaN,NaN,NaN 
W3,10786.8,5505.5,9.36e-12,5.38,WISE,NaN,NaN, 
MIR/FIR 
L,3732.1,683.5,5.34e-11,2.91,MIR/FIR,NaN,NaN,Gemini Lp 
M,4666.5,240.0,2.28e-11,3.27,MIR/FIR,NaN,NaN,Gemini Mp 
N,9205.6,4374.4,1.37e-13,4.93,MIR/FIR,NaN,NaN,NaN 
N2,9670.0,NaN,NaN,4.86,MIR/FIR,NaN,NaN,NaN 
Q1,17711.4,860.8,1.2e-14,6.22,MIR/FIR,NaN,NaN,Paranal/VISIR 
Spitzer-IRAC+MIPS 
[3.6],3507.5,743.2,6.76e-12,2.79,Spitzer-IRAC+MIPS,NaN,L,NaN 
[4.5],4436.5,865.0,2.73e-12,3.27,Spitzer-IRAC+MIPS,NaN,M,NaN 
[5.8],5628.1,1256.1,1.08e-12,3.76,Spitzer-IRAC+MIPS,NaN,NaN,NaN 
[8.0],7589.1,2528.9,3.23e-13,4.42,Spitzer-IRAC+MIPS,NaN,NaN,NaN 
[24],23210.0,5296.3,3.94e-15,6.78,Spitzer-IRAC+MIPS,NaN,NaN,NaN 
[70],68445.7,18983.5,4.93e-17,9.18,Spitzer-IRAC+MIPS,NaN,NaN,NaN 
[160],152590.2,34547.2,2.03e-18,10.90,Spitzer-IRAC+MIPS,NaN,NaN,NaN 
SWIFT-UVOT 
UVW2,203.0,61.0,5.36e-09,1.73,SWIFT-UVOT,NaN,NaN,NaN 
UVM2,222.8,51.9,4.63e-09,1.69,SWIFT-UVOT,NaN,NaN,NaN 
UVW1,258.9,79.5,4.12e-09,1.51,SWIFT-UVOT,NaN,NaN,NaN 
2MASS/UKIDSS 
Z,894.0,97.7,8.84e-10,0.54,2MASS/UKIDSS,NaN,NaN,NaN 
Y,1028.9,100.4,5.83e-10,0.63,2MASS/UKIDSS,NaN,NaN,NaN 
J,1228.5,162.4,3.14e-10,0.91,2MASS/UKIDSS,NaN,NaN,NaN 
H,1638.6,205.9,1.14e-10,1.39,2MASS/UKIDSS,NaN,NaN,NaN 
K,2152.1,261.9,4.31e-11,1.85,2MASS/UKIDSS,NaN,NaN,NaN 
Sloan 
u,359.4,55.8,3.64e-09,0.91,Sloan,NaN,U,NaN 
g,464.0,115.8,5.05e-09,-0.08,Sloan,NaN,NaN,NaN 
r,612.2,114.9,2.53e-09,0.16,Sloan,NaN,R,NaN 
i,743.9,123.8,1.41e-09,0.37,Sloan,NaN,I,NaN 
z,889.7,112.4,8.5e-10,0.54,Sloan,NaN,NaN,NaN 
Johnson-Cousin 
U,366.3,64.0,4.03e-09,0.79,Johnson-Cousin,NaN,NaN,NaN 
B,436.3,95.9,6.32e-09,-0.09,Johnson-Cousin,NaN,NaN,NaN 
V,544.5,89.3,3.62e-09,0.02,Johnson-Cousin,NaN,NaN,NaN 
R,641.4,159.1,2.17e-09,0.21,Johnson-Cousin,NaN,NaN,NaN 
I,797.8,149.5,1.13e-09,0.45,Johnson-Cousin,NaN,NaN,NaN 
HST 
F435W,433.1,76.0,6.39e-09,-0.11,HST,B,B,NaN 
F606W,577.8,187.2,2.92e-09,0.09,HST,NaN,V,NaN 
F814W,803.5,193.0,1.12e-09,0.42,HST,NaN,I,NaN 
F105W,1058.4,264.9,5.51e-10,0.65,HST,NaN,NaN,NaN 
F110W,1103.0,443.0,4.82e-10,0.76,HST,NaN,NaN,NaN 
F125W,1230.4,284.5,3.1e-10,0.90,HST,NaN,NaN,NaN 
F140W,1364.5,394.1,2.13e-10,1.08,HST,NaN,NaN,NaN 
F160W,1523.6,268.2,1.47e-10,1.25,HST,NaN,NaN,NaN 
Atlas 
cyan,518.4,229.2,4.051e-09,0.01,Atlas,r,r,NaN 
orange,663.2,257.8,2.475e-09,0.26,Atlas,g,g,NaN 
Clear 
C,600.0,NaN,NaN,0.00,Clear,NaN,R,NaN 
